Object,Scale,AUC_Magnitude,AUC_Chroma,Additivity_Error,Decay_Mean_R,Decay_Mean_S,Decay_Median_R,Decay_Median_S,Oracle_Refl_LMSE,Oracle_Shading_LMSE,Oracle_Combined_LMSE
alley_1_frame_0001.png,0,0.42710414685561265,0.44570471993594657,0.7145109233387592,7756778618.212554,9160861658.697943,0.7829640680286412,0.0,0.02677878737449646,0.039808303117752075,0.03329354524612427
alley_1_frame_0001.png,1,0.4017988054946962,0.44022379596857947,0.39444605399807403,,,,,0.02677878737449646,0.039808303117752075,0.03329354524612427
alley_2_frame_0001.png,0,0.5401151974369989,0.40668729234937945,0.5307552328172015,6274944290.981049,6826133121.644963,0.845624751017136,0.001865933007032783,0.015115657821297646,0.021916231140494347,0.018515944480895996
alley_2_frame_0001.png,1,0.45619568546715317,0.3884730255147233,0.8246684340805069,,,,,0.015115657821297646,0.021916231140494347,0.018515944480895996
ambush_2_frame_0001.png,0,0.3711454465904169,0.25929533515536274,1.011915205237214,5963946567.633748,3041293525.1566815,0.0,0.0,0.033139679580926895,0.04198151454329491,0.0375605970621109
ambush_2_frame_0001.png,1,0.3496503668433388,0.26389857211920975,0.6770912000290695,,,,,0.033139679580926895,0.04198151454329491,0.0375605970621109
ambush_4_frame_0001.png,0,0.5246996282129524,0.499403336163132,2.246247923137272,3918942849.95167,1074429038.3590703,0.0,0.0,0.024537747725844383,0.0368683822453022,0.030703064985573292
ambush_4_frame_0001.png,1,0.5316708208774745,0.5708724664729345,1.1881167744910524,,,,,0.024537747725844383,0.0368683822453022,0.030703064985573292
ambush_5_frame_0001.png,0,0.5304146144331318,0.4968013168867847,1.1410318764343597,8975888247.998426,4471019166.651041,0.2911726749126873,0.0,0.03839029744267464,0.04177076742053032,0.04008053243160248
ambush_5_frame_0001.png,1,0.5210542342087048,0.5243214145415441,0.8127491872613652,,,,,0.03839029744267464,0.04177076742053032,0.04008053243160248
ambush_6_frame_0001.png,0,0.47065026687141615,0.38431883931916727,1.6342317615018256,10192953139.976053,3737908309.7669067,0.5363066647420154,0.0,0.05758821964263916,0.05358205363154411,0.05558513663709164
ambush_6_frame_0001.png,1,0.4822991916186441,0.42401372049041647,0.9112277069192567,,,,,0.05758821964263916,0.05358205363154411,0.05558513663709164
ambush_7_frame_0001.png,0,0.2617927845077396,0.3939453407689336,0.3945269543714966,2710877167.1022367,11612442137.598612,0.0,0.16526882207839177,0.01139911264181137,0.035903673619031906,0.02365139313042164
ambush_7_frame_0001.png,1,0.2857759188741359,0.3837504679149291,0.4245151551605145,,,,,0.01139911264181137,0.035903673619031906,0.02365139313042164
bamboo_1_frame_0001.png,0,0.4314648525118553,0.4296215436388002,0.33106880138443856,10524896578.365368,5976750795.623729,0.7037121107570912,0.0,0.04918145760893822,0.06160270422697067,0.055392080917954445
bamboo_1_frame_0001.png,1,0.428147898392339,0.42633027315487765,0.6317870250080644,,,,,0.04918145760893822,0.06160270422697067,0.055392080917954445
bamboo_2_frame_0001.png,0,0.36920092947279654,0.3716424370254402,0.2878858606947471,7587987613.886617,6357040905.214529,0.6638075872704785,0.0,0.04795680195093155,0.04483626410365105,0.0463965330272913
bamboo_2_frame_0001.png,1,0.3419596309988632,0.38333088048061886,0.6373441988420864,,,,,0.04795680195093155,0.04483626410365105,0.0463965330272913
bandage_1_frame_0001.png,0,0.40374386118947847,0.3767199989446746,1.258815337672673,12731690165.800741,13339447434.29348,0.8187338133893967,0.0,0.031142450869083405,0.031020473688840866,0.031081462278962135
bandage_1_frame_0001.png,1,0.3919804197758952,0.34968909736443216,1.1656430047123585,,,,,0.031142450869083405,0.031020473688840866,0.031081462278962135
