Object,Scale,AUC_Magnitude,AUC_Chroma,Additivity_Error,Decay_Mean_R,Decay_Mean_S,Decay_Median_R,Decay_Median_S,Oracle_Refl_LMSE,Oracle_Shading_LMSE,Oracle_Combined_LMSE
alley_1_frame_0001.png,0,0.42710414685561265,0.44570471993594657,0.7145109233387592,7756778618.212554,9160861658.697943,0.7829640680286412,0.0,0.026307810097932816,0.033571429550647736,0.029939619824290276
alley_1_frame_0001.png,1,0.4017988054946962,0.44022379596857947,0.39444605399807403,7495682802.3358755,11800907907.254715,0.7164222832043616,0.0,0.026307810097932816,0.033571429550647736,0.029939619824290276
alley_1_frame_0001.png,2,0.35775300196787496,0.4544703911487144,0.4019478365772994,,,,,0.026307810097932816,0.033571429550647736,0.029939619824290276
alley_2_frame_0001.png,0,0.5401151974369989,0.40668729234937945,0.5307552328172015,6274944290.981049,6826133121.644963,0.845624751017136,0.001865933007032783,0.013852188363671303,0.018198994919657707,0.016025591641664505
alley_2_frame_0001.png,1,0.45619568546715317,0.3884730255147233,0.8246684340805069,7022874280.409532,9619814778.226046,0.7929741407096612,0.19711587251524174,0.013852188363671303,0.018198994919657707,0.016025591641664505
alley_2_frame_0001.png,2,0.40603741422885803,0.3918780195453342,0.9237769268469727,,,,,0.013852188363671303,0.018198994919657707,0.016025591641664505
ambush_2_frame_0001.png,0,0.3711454465904169,0.25929533515536274,1.011915205237214,5963946567.633748,3041293525.1566815,0.0,0.0,0.03059627301990986,0.03515418991446495,0.032875231467187405
ambush_2_frame_0001.png,1,0.3496503668433388,0.26389857211920975,0.6770912000290695,8867466600.18509,4140084570.0766187,0.11210722531311068,0.0,0.03059627301990986,0.03515418991446495,0.032875231467187405
ambush_2_frame_0001.png,2,0.3320377158080618,0.27581168092264197,0.7956891627819546,,,,,0.03059627301990986,0.03515418991446495,0.032875231467187405
ambush_4_frame_0001.png,0,0.5246996282129524,0.499403336163132,2.246247923137272,3918942849.95167,1074429038.3590703,0.0,0.0,0.022698422893881798,0.033419106155633926,0.028058764524757862
ambush_4_frame_0001.png,1,0.5316708208774745,0.5708724664729345,1.1881167744910524,5829233535.97014,1692920121.9442153,0.0,0.0,0.022698422893881798,0.033419106155633926,0.028058764524757862
ambush_4_frame_0001.png,2,0.5304884531815497,0.5956170822757891,1.2544149494485557,,,,,0.022698422893881798,0.033419106155633926,0.028058764524757862
ambush_5_frame_0001.png,0,0.5304146144331318,0.4968013168867847,1.1410318764343597,8975888247.998426,4471019166.651041,0.2911726749126873,0.0,0.03619930148124695,0.034964170306921005,0.03558173589408398
ambush_5_frame_0001.png,1,0.5210542342087048,0.5243214145415441,0.8127491872613652,11042571942.295246,5739202892.136469,0.4072769486751785,0.0,0.03619930148124695,0.034964170306921005,0.03558173589408398
ambush_5_frame_0001.png,2,0.5200628567667104,0.5580418614275635,0.8261755376936919,,,,,0.03619930148124695,0.034964170306921005,0.03558173589408398
ambush_6_frame_0001.png,0,0.47065026687141615,0.38431883931916727,1.6342317615018256,10192953139.976053,3737908309.7669067,0.5363066647420154,0.0,0.053386274725198746,0.044603124260902405,0.048994699493050575
ambush_6_frame_0001.png,1,0.4822991916186441,0.42401372049041647,0.9112277069192567,12388537019.909098,4449712893.813482,0.5705960633609312,0.0,0.053386274725198746,0.044603124260902405,0.048994699493050575
ambush_6_frame_0001.png,2,0.4737853568720894,0.4760125884407211,0.9222069313959264,,,,,0.053386274725198746,0.044603124260902405,0.048994699493050575
ambush_7_frame_0001.png,0,0.2617927845077396,0.3939453407689336,0.3945269543714966,2710877167.1022367,11612442137.598612,0.0,0.16526882207839177,0.01163068599998951,0.03213601931929588,0.021883352659642696
ambush_7_frame_0001.png,1,0.2857759188741359,0.3837504679149291,0.4245151551605145,2670750129.10907,8694148109.35768,0.0,0.04392382510603087,0.01163068599998951,0.03213601931929588,0.021883352659642696
ambush_7_frame_0001.png,2,0.324839181694567,0.3892379124985366,0.553757806577104,,,,,0.01163068599998951,0.03213601931929588,0.021883352659642696
bamboo_1_frame_0001.png,0,0.4314648525118553,0.4296215436388002,0.33106880138443856,10524896578.365368,5976750795.623729,0.7037121107570912,0.0,0.05255328491330147,0.04436766728758812,0.048460476100444794
bamboo_1_frame_0001.png,1,0.428147898392339,0.42633027315487765,0.6317870250080644,11957052238.510563,10421834843.498674,0.8208022609351179,0.0,0.05255328491330147,0.04436766728758812,0.048460476100444794
bamboo_1_frame_0001.png,2,0.40702756614554203,0.4372801254440377,0.7477792206772602,,,,,0.05255328491330147,0.04436766728758812,0.048460476100444794
bamboo_2_frame_0001.png,0,0.36920092947279654,0.3716424370254402,0.2878858606947471,7587987613.886617,6357040905.214529,0.6638075872704785,0.0,0.04533656686544418,0.03074038401246071,0.038038475438952446
bamboo_2_frame_0001.png,1,0.3419596309988632,0.38333088048061886,0.6373441988420864,10185035149.689207,10862333295.023531,0.9338867325190168,0.0,0.04533656686544418,0.03074038401246071,0.038038475438952446
bamboo_2_frame_0001.png,2,0.33962487927642643,0.4218387538725253,0.6548442888095977,,,,,0.04533656686544418,0.03074038401246071,0.038038475438952446
bandage_1_frame_0001.png,0,0.40374386118947847,0.3767199989446746,1.258815337672673,12731690165.800741,13339447434.29348,0.8187338133893967,0.0,0.029728252440690994,0.02377690188586712,0.026752577163279057
bandage_1_frame_0001.png,1,0.3919804197758952,0.34968909736443216,1.1656430047123585,10701045738.065168,11791560102.08492,0.7950147894300829,0.0,0.029728252440690994,0.02377690188586712,0.026752577163279057
bandage_1_frame_0001.png,2,0.4033765025067824,0.3736937739872843,0.9561329069767479,,,,,0.029728252440690994,0.02377690188586712,0.026752577163279057
bandage_2_frame_0001.png,0,0.41645912879392216,0.46042562281807387,1.112818223898827,11811133974.677088,9779043818.959639,0.6765773586136647,0.22348156777120975,0.035759661346673965,0.04293307662010193,0.03934636898338795
bandage_2_frame_0001.png,1,0.4511229375153578,0.4625748008126454,0.777926057804383,13400591108.96477,10757333785.30515,0.6968464344819398,0.17809705687131278,0.035759661346673965,0.04293307662010193,0.03934636898338795
bandage_2_frame_0001.png,2,0.49638454543460664,0.5150287639151796,0.9199220295488612,,,,,0.035759661346673965,0.04293307662010193,0.03934636898338795
cave_2_frame_0001.png,0,0.37268596368275864,0.4156523283263474,0.9303138949495382,13493196036.122559,11597196677.056833,0.9386861859198383,0.3131535299551473,0.07022658735513687,0.03703370317816734,0.05363014526665211
cave_2_frame_0001.png,1,0.4382410281977168,0.4363753012387241,0.7717327278424924,16069706852.359823,11665664147.753359,0.9772859130264859,0.3379327754642828,0.07022658735513687,0.03703370317816734,0.05363014526665211
cave_2_frame_0001.png,2,0.485866547434831,0.4494812545894927,0.7076637797241564,,,,,0.07022658735513687,0.03703370317816734,0.05363014526665211
cave_4_frame_0001.png,0,0.44777456182367187,0.38070489812060526,0.9491064010050027,9778534215.583319,7190232550.676809,0.8703509268121328,0.19200126839143972,0.033653467893600464,0.0426507405936718,0.03815210424363613
cave_4_frame_0001.png,1,0.4718062104456515,0.3757058558775694,0.5627567449260483,11998162031.602081,7692579262.9864235,0.9348148877751143,0.3095252305469297,0.033653467893600464,0.0426507405936718,0.03815210424363613
cave_4_frame_0001.png,2,0.5151203245873973,0.38726201178095687,0.7363293141377014,,,,,0.033653467893600464,0.0426507405936718,0.03815210424363613
market_2_frame_0001.png,0,0.2512404591626105,0.39084877220074393,0.19308376911573516,11271161038.943235,41237319107.33204,0.581188434800125,0.17408314691083734,0.07324406504631042,0.024585025385022163,0.048914545215666294
market_2_frame_0001.png,1,0.2516956893568154,0.4154116018667705,0.5288304898520376,24396586737.531475,56170275884.08194,0.6404969124849691,0.4537280577059519,0.07324406504631042,0.024585025385022163,0.048914545215666294
market_2_frame_0001.png,2,0.22266295926864693,0.4255709848350873,0.8816879751359298,,,,,0.07324406504631042,0.024585025385022163,0.048914545215666294
