Object,Scale,AUC_Magnitude,AUC_Chroma,Additivity_Error,Decay_Mean_R,Decay_Mean_S,Decay_Median_R,Decay_Median_S,Oracle_Refl_LMSE,Oracle_Shading_LMSE,Oracle_Combined_LMSE
box,0,0.48875089941128524,0.5188822514301337,0.6749185323929093,4984821860.182848,2438915997.7869086,0.3696558301397151,0.1474056315689432,0.03177880868315697,0.025506699457764626,0.028642754070460796
box,1,0.44659659676454366,0.5313010971310489,0.47952271470040075,12650332422.4898,7863080683.111522,0.9184353832875294,0.6976088578717907,0.03177880868315697,0.025506699457764626,0.028642754070460796
box,2,0.4242807748842965,0.5654223316494734,0.40284532084925306,,,,,0.03177880868315697,0.025506699457764626,0.028642754070460796
cup1,0,0.5721207530383339,0.4631141994860779,0.8440869699682233,1734481327.2814887,3112520760.742768,0.4465032694518958,0.0,0.023853039368987083,0.018740762025117874,0.02129690069705248
cup1,1,0.5066719998076081,0.4590556202567439,0.8242587111970175,2689280925.6411552,5276368571.436696,0.5871827649709882,0.0,0.023853039368987083,0.018740762025117874,0.02129690069705248
cup1,2,0.4660752679819827,0.44610468840208783,0.5602691242195421,,,,,0.023853039368987083,0.018740762025117874,0.02129690069705248
cup2,0,0.6370864498951315,0.4704944197906518,0.760561312509982,4209255434.969097,942841941.2134901,0.4970426451909631,0.0,0.04570610448718071,0.04365549981594086,0.04468080215156078
cup2,1,0.6012953020725516,0.4715723562079634,0.4160656044472565,15719621370.06527,2303481223.150059,1.016474798607085,0.0,0.04570610448718071,0.04365549981594086,0.04468080215156078
cup2,2,0.5759199148562087,0.48476869800136174,0.31311919767602636,,,,,0.04570610448718071,0.04365549981594086,0.04468080215156078
dinosaur,0,0.3874260952892434,0.4984446964825999,0.7557588130858767,4110994317.1489954,7167188163.620235,0.15300496671163252,0.9135200804941619,0.11660870164632797,0.21643026173114777,0.16651948168873787
dinosaur,1,0.3516419265578132,0.5093831392798884,0.7260877699682221,9474319248.501778,12080113379.184853,0.23092702767727447,0.7125819581789254,0.11660870164632797,0.21643026173114777,0.16651948168873787
dinosaur,2,0.3732380585805846,0.5312181029737137,0.6223903556126863,,,,,0.11660870164632797,0.21643026173114777,0.16651948168873787
panther,0,0.34611389666537734,0.4837363288031846,0.3576727763396314,5974620939.559039,5010998412.20677,0.37327034278379534,0.0,0.012390091083943844,0.015185743570327759,0.013787917327135801
panther,1,0.3119229565483389,0.5147913263466186,0.33181860185045425,11506543874.88728,12262201504.604895,0.6971624390379794,0.4523577248895299,0.012390091083943844,0.015185743570327759,0.013787917327135801
panther,2,0.33074530999233687,0.5746245282714014,0.3666792390104648,,,,,0.012390091083943844,0.015185743570327759,0.013787917327135801
squirrel,0,0.46728208838537294,0.49616699840641076,0.685318976198791,11083748509.653214,11717322597.072725,0.5981809418814698,0.5368516124907381,0.09697876125574112,0.06294489651918411,0.07996182888746262
squirrel,1,0.4756915774974252,0.4924321327915866,0.7812008591897056,13059588049.877062,16123183580.330202,0.6569692622962381,0.6408759335010414,0.09697876125574112,0.06294489651918411,0.07996182888746262
squirrel,2,0.4432156137128112,0.4936490883463496,0.6999837548567841,,,,,0.09697876125574112,0.06294489651918411,0.07996182888746262
